"","names.NSDUH_2020."
"297","stmrssor"
"298","STMRSOTRS2"
"299","stmrsmain"
"300","stmnorxfg"
"301","sednmlif"
"302","sednmrec"
"303","sednminit"
"304","sednmage"
"305","sednmyfu"
"306","sednmmfu"
"307","SEDNM30D"
"308","SEDNM30FQ"
"309","SEDNM30ES"
"310","SEDNM30AL"
"311","sedwynorx"
"312","sedwygamt"
"313","sedwyoftn"
"314","sedwylngr"
"315","sedwyotwy"
"316","sednmlast"
"317","sedrsrelx"
"318","sedrsexpt"
"319","sedrshigh"
"320","sedrsslep"
"321","sedrsemot"
"322","sedrsdgfx"
"323","sedrshook"
"324","sedrssor"
"325","SEDRSOTRS2"
"326","sedrsmain"
"327","sednorxfg"
"328","ircigrc"
"329","iicigrc"
"330","II2CIGRC"
"331","ircgrrc"
"332","iicgrrc"
"333","II2CGRRC"
"334","irpiplf"
"335","iipiplf"
"336","irpipmn"
"337","iipipmn"
"338","irsmklssrec"
"339","iismklssrec"
"340","iralcrc"
"341","iialcrc"
"342","II2ALCRC"
"343","irmjrc"
"344","iimjrc"
"345","II2MJRC"
"346","ircocrc"
"347","iicocrc"
"348","II2COCRC"
"349","ircrkrc"
"350","iicrkrc"
"351","II2CRKRC"
"352","irherrc"
"353","iiherrc"
"354","II2HERRC"
"355","irhallucrec"
"356","iihallucrec"
"357","irlsdrc"
"358","iilsdrc"
"359","II2LSDRC"
"360","irpcprc"
"361","iipcprc"
"362","II2PCPRC"
"363","irecstmorec"
"364","iiecstmorec"
"365","irketminrec"
"366","iiketminrec"
"367","irdamtfxrec"
"368","iidamtfxrec"
"369","irsalviarec"
"370","iisalviarec"
"371","irinhalrec"
"372","iiinhalrec"
"373","irmethamrec"
"374","iimethamrec"
"375","irpnranyrec"
"376","iipnranyrec"
"377","iroxcnanyyr"
"378","iioxcnanyyr"
"379","irtrqanyrec"
"380","iitrqanyrec"
"381","irstmanyrec"
"382","iistmanyrec"
"383","irsedanyrec"
"384","iisedanyrec"
"385","irpnrnmrec"
"386","iipnrnmrec"
"387","iroxcnnmyr"
"388","iioxcnnmyr"
"389","irtrqnmrec"
"390","iitrqnmrec"
"391","irstmnmrec"
"392","iistmnmrec"
"393","irsednmrec"
"394","iisednmrec"
"395","iralcfy"
"396","iialcfy"
"397","II2ALCFY"
"398","irmjfy"
"399","iimjfy"
"400","II2MJFY"
"401","ircocfy"
"402","iicocfy"
"403","II2COCFY"
"404","ircrkfy"
"405","iicrkfy"
"406","II2CRKFY"
"407","irherfy"
"408","iiherfy"
"409","II2HERFY"
"410","irhallucyfq"
"411","iihallucyfq"
"412","irinhalyfq"
"413","iiinhalyfq"
"414","irmethamyfq"
"415","iimethamyfq"
"416","ircigfm"
"417","iicigfm"
"418","II2CIGFM"
"419","ircgrfm"
"420","iicgrfm"
"421","II2CGRFM"
"422","IRSMKLSS30N"
"423","IISMKLSS30N"
"424","iralcfm"
"425","iialcfm"
"426","II2ALCFM"
"427","IRALCBNG30D"
"428","IIALCBNG30D"
"429","irmjfm"
"430","iimjfm"
"431","II2MJFM"
"432","ircocfm"
"433","iicocfm"
"434","II2COCFM"
"435","ircrkfm"
"436","iicrkfm"
"437","II2CRKFM"
"438","irherfm"
"439","iiherfm"
"440","II2HERFM"
"441","IRHALLUC30N"
"442","IIHALLUC30N"
"443","IRINHAL30N"
"444","IIINHAL30N"
"445","IRMETHAM30N"
"446","IIMETHAM30N"
"447","IRPNRNM30FQ"
"448","IIPNRNM30FQ"
"449","IRTRQNM30FQ"
"450","IITRQNM30FQ"
"451","IRSTMNM30FQ"
"452","IISTMNM30FQ"
"453","IRSEDNM30FQ"
"454","IISEDNM30FQ"
"455","ircigage"
"456","iicigage"
"457","ircigyfu"
"458","iicigyfu"
"459","ircduage"
"460","iicduage"
"461","IRCD2YFU"
"462","IICD2YFU"
"463","ircgrage"
"464","iicgrage"
"465","ircgryfu"
"466","iicgryfu"
"467","irsmklsstry"
"468","iismklsstry"
"469","irsmklssyfu"
"470","iismklssyfu"
"471","iralcage"
"472","iialcage"
"473","iralcyfu"
"474","iialcyfu"
"475","irmjage"
"476","iimjage"
"477","irmjyfu"
"478","iimjyfu"
"479","ircocage"
"480","iicocage"
"481","ircocyfu"
"482","iicocyfu"
"483","ircrkage"
"484","iicrkage"
"485","ircrkyfu"
"486","iicrkyfu"
"487","irherage"
"488","iiherage"
"489","irheryfu"
"490","iiheryfu"
"491","irhallucage"
"492","iihallucage"
"493","irhallucyfu"
"494","iihallucyfu"
"495","irlsdage"
"496","iilsdage"
"497","irlsdyfu"
"498","iilsdyfu"
"499","irpcpage"
"500","iipcpage"
"501","irpcpyfu"
"502","iipcpyfu"
"503","irecstmoage"
"504","iiecstmoage"
"505","irecstmoyfu"
"506","iiecstmoyfu"
"507","irinhalage"
"508","iiinhalage"
"509","irinhalyfu"
"510","iiinhalyfu"
"511","irmethamage"
"512","iimethamage"
"513","irmethamyfu"
"514","iimethamyfu"
"515","irpnrnminit"
"516","iipnrnminit"
"517","irtrqnminit"
"518","iitrqnminit"
"519","irstmnminit"
"520","iistmnminit"
"521","irsednminit"
"522","iisednminit"
"523","irpnrnmyfu"
"524","iipnrnmyfu"
"525","irpnrnmage"
"526","iipnrnmage"
"527","irtrqnmyfu"
"528","iitrqnmyfu"
"529","irtrqnmage"
"530","iitrqnmage"
"531","irstmnmyfu"
"532","iistmnmyfu"
"533","irstmnmage"
"534","iistmnmage"
"535","irsednmyfu"
"536","iisednmyfu"
"537","irsednmage"
"538","iisednmage"
"539","cigflag"
"540","cigyr"
"541","cigmon"
"542","cgrflag"
"543","cgryr"
"544","cgrmon"
"545","pipflag"
"546","pipmon"
"547","smklssflag"
"548","smklssyr"
"549","smklssmon"
"550","tobcigonl"
"551","tobflag"
"552","tobyr"
"553","tobmon"
"554","alcflag"
"555","alcyr"
"556","alcmon"
"557","mrjflag"
"558","mrjyr"
"559","mrjmon"
"560","cocflag"
"561","cocyr"
"562","cocmon"
"563","crkflag"
"564","crkyr"
"565","crkmon"
"566","herflag"
"567","heryr"
"568","hermon"
"569","hallucflag"
"570","hallucyr"
"571","hallucmon"
"572","lsdflag"
"573","lsdyr"
"574","lsdmon"
"575","pcpflag"
"576","pcpyr"
"577","pcpmon"
"578","ecstmoflag"
"579","ecstmoyr"
"580","ecstmomon"
"581","damtfxflag"
"582","damtfxyr"
"583","damtfxmon"
"584","ketminflag"
"585","ketminyr"
"586","ketminmon"
"587","salviaflag"
"588","salviayr"
"589","salviamon"
"590","inhalflag"
"591","inhalyr"
"592","inhalmon"
"593","methamflag"
"594","methamyr"
"595","methammon"
"596","pnranyflag"
"597","pnranyyr"
"598","oxycnanyyr"
"599","trqanyflag"
"600","trqanyyr"
"601","stmanyflag"
"602","stmanyyr"
"603","sedanyflag"
"604","sedanyyr"
"605","tqsdanyflg"
"606","tqsdanyyr"
"607","psyanyflag"
"608","psyanyyr"
"609","pnrnmflag"
"610","pnrnmyr"
"611","pnrnmmon"
"612","oxycnnmyr"
"613","trqnmflag"
"614","trqnmyr"
"615","trqnmmon"
"616","stmnmflag"
"617","stmnmyr"
"618","stmnmmon"
"619","sednmflag"
"620","sednmyr"
"621","sednmmon"
"622","tqsdnmflag"
"623","tqsdnmyr"
"624","tqsdnmmon"
"625","psychflag"
"626","psychyr"
"627","psychmon"
"628","opinmyr"
"629","opinmmon"
"630","herpnryr"
"631","cnsnmyr"
"632","cnsnmmon"
"633","illflag"
"634","illyr"
"635","illmon"
"636","mjonlyflag"
"637","mjonlyyr"
"638","mjonlymon"
"639","illemflag"
"640","illemyr"
"641","illemmon"
"642","cduflag"
"643","dcigmon"
"644","cdcgmo"
"645","cdnocgmo"
"646","bngdrkmon"
"647","hvydrkmon"
"648","iltobalcfg"
"649","iltobalcyr"
"650","iltobalcmn"
"651","illalcmon"
"652","tobalcflg"
"653","tobalcyr"
"654","tobalcmn"
"655","illandalc"
"656","illoralc"
"657","illalcflg"
"658","PEYOTE2"
"659","MESC2"
"660","PSILCY2"
"661","AMYLNIT2"
"662","CLEFLU2"
"663","GAS2"
"664","GLUE2"
"665","ETHER2"
"666","SOLVENT2"
"667","LGAS2"
"668","NITOXID2"
"669","FELTMARKR2"
"670","SPPAINT2"
"671","AIRDUSTER2"
"672","OTHAEROS2"
"673","hydcpdapyu"
"674","ZOHYANYYR2"
"675","oxcopdapyu"
"676","trampdapyu"
"677","codepdapyu"
"678","morppdapyu"
"679","fentpdapyu"
"680","buprpdapyu"
"681","oxympdapyu"
"682","demepdapyu"
"683","hydmpdapyu"
"684","mtdnpdapyu"
"685","PNROTANYR2"
"686","trbenzapyu"
"687","alprpdapyu"
"688","lorapdapyu"
"689","clonpdapyu"
"690","diazpdapyu"
"691","musrlxapyu"
"692","cyclpdapyu"
"693","somapdapyu"
"694","TRQOTANYR2"
"695","ammepdapyu"
"696","amphetapyu"
"697","methpdapyu"
"698","anostmapyu"
"699","provpdapyu"
"700","STMOTANYR2"
"701","zolppdapyu"
"702","eszopdapyu"
"703","zalepdapyu"
"704","svbenzapyu"
"705","triapdapyu"
"706","temapdapyu"
"707","flurpdapyu"
"708","barbitapyu"
"709","SEDOTANYR2"
"710","benzosapyu"
"711","hydcpdpymu"
"712","oxcopdpymu"
"713","trampdpymu"
"714","codepdpymu"
"715","morppdpymu"
"716","fentpdpymu"
"717","buprpdpymu"
"718","oxympdpymu"
"719","demepdpymu"
"720","hydmpdpymu"
"721","mtdnpdpymu"
"722","PNROTHPYMU2"
"723","trbenzpymu"
"724","alprpdpymu"
"725","lorapdpymu"
"726","clonpdpymu"
"727","diazpdpymu"
"728","musrlxpymu"
"729","cyclpdpymu"
"730","somapdpymu"
"731","TRQOTHPYMU2"
"732","ammepdpymu"
"733","amphetpymu"
"734","methpdpymu"
"735","anostmpymu"
"736","provpdpymu"
"737","STMOTHPYMU2"
"738","zolppdpymu"
"739","eszopdpymu"
"740","svbenzpymu"
"741","SEDOTHPYMU2"
"742","benzospymu"
"743","alcydays"
"744","mrjydays"
"745","cocydays"
"746","crkydays"
"747","herydays"
"748","hallndayyr"
"749","inhndayyr"
"750","methndayyr"
"751","cigmdays"
"752","cgrmdays"
"753","smklsmdays"
"754","alcmdays"
"755","mrjmdays"
"756","cocmdays"
"757","crkmdays"
"758","hermdays"
"759","hallndaypm"
"760","inhndaypm"
"761","methndaypm"
"762","pnrndaypm"
"763","trqndaypm"
"764","stmndaypm"
"765","sedndaypm"
"766","bngdrmdays"
"767","cigpday"
"768","CIG1PACK"
"769","cigavgd"
"770","cigavgm"
"771","alcnumdkpm"
"772","FUCIG18"
"773","FUCIG21"
"774","FUCD218"
"775","FUCD221"
"776","FUCGR18"
"777","FUCGR21"
"778","FUSMKLSS18"
"779","FUSMKLSS21"
"780","FUALC18"
"781","FUALC21"
"782","FUMJ18"
"783","FUMJ21"
"784","FUCOC18"
"785","FUCOC21"
"786","FUCRK18"
"787","FUCRK21"
"788","FUHER18"
"789","FUHER21"
"790","FUHALLUC18"
"791","FUHALLUC21"
"792","FULSD18"
"793","FULSD21"
"794","FUPCP18"
"795","FUPCP21"
"796","FUECSTMO18"
"797","FUECSTMO21"
"798","FUINHAL18"
"799","FUINHAL21"
"800","FUMETHAM18"
"801","FUMETHAM21"
"802","FUPNRNM18"
"803","FUPNRNM21"
"804","FUTRQNM18"
"805","FUTRQNM21"
"806","FUSTMNM18"
"807","FUSTMNM21"
"808","FUSEDNM18"
"809","FUSEDNM21"
"810","pnrmainrsn"
"811","trqmainrsn"
"812","stmmainrsn"
"813","sedmainrsn"
"814","SRCPNRNM2"
"815","SRCTRQNM2"
"816","SRCSTMNM2"
"817","SRCSEDNM2"
"818","srcfrpnrnm"
"819","srcfrtrqnm"
"820","srcfrstmnm"
"821","srcfrsednm"
"822","srcclfrpnr"
"823","srcclfrtrq"
"824","srcclfrstm"
"825","srcclfrsed"
"826","coldmeds"
"827","coldrec"
"828","COLDYR1"
"829","COLDYR2"
"830","COLDYR3"
"831","COLDYR4"
"832","COLDYR5"
"833","otcflag"
"834","ghb"
"835","ghbrec"
"836","cocneedl"
"837","condlrec"
"838","hersmoke"
"839","hrsmkrec"
"840","hersniff"
"841","hrsnfrec"
"842","herneedl"
"843","heotsmk"
"844","heotsnf"
"845","heotndl"
"846","heototh"
"847","heotsp"
"848","hrndlrec"
"849","methneedl"
"850","methndlrc"
"851","otdgnedl"
"852","otdgndla"
"853","otdgndlb"
"854","otdgndlc"
"855","otdgndld"
"856","otdgndle"
"857","otdgndlrc"
"858","gnndreus"
"859","GNNDLSH1"
"860","gnndclen"
"861","GNNDLSH2"
"862","GNNDGET2"
"863","anyndlrec"
"864","chmndlrec"
"865","anyneedl"
"866","nedher"
"867","nedcoc"
"868","METHNEEDL2"
"869","HERSMOK2"
"870","HERSNIF2"
"871","coldflgr"
"872","coldyrr"
"873","coldmonr"
"874","ghbflgr"
"875","ghbyrr"
"876","ghbmonr"
"877","rskcigpkd"
"878","rskmrjmon"
"879","rskmrjwk"
"880","rsklsdtry"
"881","rsklsdwk"
"882","rskhertry"
"883","rskherwk"
"884","rskcocmon"
"885","rskcocwk"
"886","rskbngdly"
"887","rskbngwk"
"888","difgetmrj"
"889","difgetlsd"
"890","difgetcoc"
"891","difgetcrk"
"892","difgether"
"893","appdrgmon"
"894","rskyfqdgr"
"895","rskyfqtes"
"896","rkfqpblt"
"897","rkfqdblt"
"898","grskcigpkd"
"899","grskmrjmon"
"900","grskmrjwk"
"901","grskcocmon"
"902","grskcocwk"
"903","grskhertry"
"904","grskherwk"
"905","grsklsdtry"
"906","grsklsdwk"
"907","grskbngdly"
"908","grskbngwk"
"909","difobtmrj"
"910","difobtcoc"
"911","difobtcrk"
"912","difobther"
